id,checkpoint_id,checkpoint_sha256,scale,family,trained_dose,clipping_p,kind,precision,source,loss,delta_loss_vs_A0,S_model,S_block,zero_products,model_products,block_products,R_arch_actual,R_arch_A7,inference_sites,delta_loss_from_p0,delta_S_from_p0
70M:A1-H:None,70M:A1-H:None,8f0c489df1abff41dd824c383797cf6f62afea1e3c03a03be20c4e51da00c609,70M,A1-H,,,trained,FP16,runs/018-2026-09-01-pythia70m-selected-ladder-canonical-init/artifacts/attempts/002-20260901-132416-647ee429,4.222749641308417,0.12298367503126695,0.1006575817198192,0.20366175175997106,3548299693748,35251191545856,17422513864704,0.1235446703263558,0.49423900585148095,h,,
410M:A0:None,410M:A0:None,740263f4169a66c94d2117fab7cf9bfd8dd4e102a84d329660766c08eccf8b97,410M,A0,,,trained,FP16,runs/019-2026-09-01-pythia410m-selected-ladder-canonical-init/artifacts/attempts/001-20260902-141527-bcb97fb1,4.547456437666741,0.0,0.00011047923803103942,0.00012663076784292883,30885552627,279559790395392,243902435033088,0.0,0.8724517738696526,,,
410M:A1-H:None,410M:A1-H:None,3eadbb88d26b100a753f2ed40e13e91137663a4abb62b2ab9e0823351c7e229a,410M,A1-H,,,trained,FP16,runs/019-2026-09-01-pythia410m-selected-ladder-canonical-init/artifacts/attempts/002-20260902-130258-2ffaeadc,4.651294058243904,0.10383762057716339,0.21049725280441106,0.24127093222674806,58846567872807,279559790395392,243902435033088,0.2492545487738088,0.8724517738696526,h,,
14M:A0:None:clip:0.0,14M:A0:None,44d7e4b11c28101aceff70ff4844c97aca74f15ea970d74f2de0029dd027da8e,14M,A0,,0.0,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,5.208594059803077,2.1047493410364382e-05,1.2144636324463738e-08,4.0546485960252854e-08,77277,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.0,0.0
14M:A0:None:clip:0.1,14M:A0:None,44d7e4b11c28101aceff70ff4844c97aca74f15ea970d74f2de0029dd027da8e,14M,A0,,0.1,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,5.214452560131367,0.005879547821700193,0.012787059225755319,0.0426913003830029,81364772842,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.0058585003282898285,0.012787047081118995
14M:A0:None:clip:0.2,14M:A0:None,44d7e4b11c28101aceff70ff4844c97aca74f15ea970d74f2de0029dd027da8e,14M,A0,,0.2,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,5.250270307416747,0.0416972951070802,0.025547861885604005,0.08529493972351307,162562473687,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.04167624761366984,0.02554784974096768
14M:A0:None:clip:0.3,14M:A0:None,44d7e4b11c28101aceff70ff4844c97aca74f15ea970d74f2de0029dd027da8e,14M,A0,,0.3,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,5.361901215547641,0.15332820323797414,0.03831640852502134,0.12792443337126372,243809449907,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.15330715574456377,0.03831639638038502
14M:A0:None:clip:0.4,14M:A0:None,44d7e4b11c28101aceff70ff4844c97aca74f15ea970d74f2de0029dd027da8e,14M,A0,,0.4,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,5.605384225676046,0.39681121336637926,0.05125544468338841,0.17112312898618576,326141260469,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.3967901658729689,0.05125543253875209
14M:A0:None:clip:0.5,14M:A0:None,44d7e4b11c28101aceff70ff4844c97aca74f15ea970d74f2de0029dd027da8e,14M,A0,,0.5,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,6.077730602766636,0.869157590456969,0.06441923193637135,0.2150721860659494,409903174813,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.8691365429635587,0.06441921979173502
14M:A0:None:clip:0.6,14M:A0:None,44d7e4b11c28101aceff70ff4844c97aca74f15ea970d74f2de0029dd027da8e,14M,A0,,0.6,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,6.821172901864588,1.6125998895549216,0.07764415459051939,0.25922535182536305,494054097133,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",1.6125788420615113,0.07764414244588307
14M:A0:None:clip:0.7,14M:A0:None,44d7e4b11c28101aceff70ff4844c97aca74f15ea970d74f2de0029dd027da8e,14M,A0,,0.7,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,7.766948343028684,2.5583753307190173,0.09123470793282666,0.3045992243369602,580531547966,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",2.558354283225607,0.09123469578819034
14M:A0:None:clip:0.8,14M:A0:None,44d7e4b11c28101aceff70ff4844c97aca74f15ea970d74f2de0029dd027da8e,14M,A0,,0.8,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,8.336117610423523,3.1275445981138565,0.10585958231881311,0.353426315418096,673590441434,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",3.127523550620446,0.10585957017417678
14M:A0:None:clip:0.9,14M:A0:None,44d7e4b11c28101aceff70ff4844c97aca74f15ea970d74f2de0029dd027da8e,14M,A0,,0.9,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,8.825610324475893,3.617037312166226,0.119418809381631,0.39869560097314966,759868561399,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",3.6170162646728157,0.11941879723699468
14M:A1-H:None:clip:0.0,14M:A1-H:None,5a452f7fa0ff25caab0c251172081ef805aafd58b8ef5ceeed75cbb23b7210f3,14M,A1-H,,0.0,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,5.269633448335546,0.06106043602587974,0.02714133462785748,0.09061496071431693,172701829845,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.0,0.0
14M:A1-H:None:clip:0.1,14M:A1-H:None,5a452f7fa0ff25caab0c251172081ef805aafd58b8ef5ceeed75cbb23b7210f3,14M,A1-H,,0.1,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,5.2740728580034695,0.06549984569380296,0.035684028579955444,0.11913588230780661,227059469127,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.004439409667923222,0.008542693952097963
14M:A1-H:None:clip:0.2,14M:A1-H:None,5a452f7fa0ff25caab0c251172081ef805aafd58b8ef5ceeed75cbb23b7210f3,14M,A1-H,,0.2,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,5.307940479566359,0.09936746725669288,0.04418365092044717,0.14751300358907452,281143041336,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.03830703123081314,0.017042316292589687
14M:A1-H:None:clip:0.3,14M:A1-H:None,5a452f7fa0ff25caab0c251172081ef805aafd58b8ef5ceeed75cbb23b7210f3,14M,A1-H,,0.3,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,5.405055693620761,0.19648268131109425,0.05271870665002293,0.17600842395930946,335452078181,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.13542224528521452,0.025577372022165448
14M:A1-H:None:clip:0.4,14M:A1-H:None,5a452f7fa0ff25caab0c251172081ef805aafd58b8ef5ceeed75cbb23b7210f3,14M,A1-H,,0.4,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,5.602964821651843,0.3943918093421761,0.061293247394087945,0.2046356703095784,390012360381,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.33333137331629636,0.03415191276623046
14M:A1-H:None:clip:0.5,14M:A1-H:None,5a452f7fa0ff25caab0c251172081ef805aafd58b8ef5ceeed75cbb23b7210f3,14M,A1-H,,0.5,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,5.976274115799447,0.76770110348978,0.0699445131206961,0.2335190732333645,445060847935,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.7066406674639003,0.04280317849283863
14M:A1-H:None:clip:0.6,14M:A1-H:None,5a452f7fa0ff25caab0c251172081ef805aafd58b8ef5ceeed75cbb23b7210f3,14M,A1-H,,0.6,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,6.5214737124696995,1.312900700160033,0.07892903987664684,0.26351511249193477,502229894053,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",1.2518402641341533,0.05178770524878937
14M:A1-H:None:clip:0.7,14M:A1-H:None,5a452f7fa0ff25caab0c251172081ef805aafd58b8ef5ceeed75cbb23b7210f3,14M,A1-H,,0.7,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,7.30617527707794,2.0976022647682733,0.09051786975696816,0.30220596460841054,575970266571,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",2.0365418287423935,0.06337653512911068
14M:A1-H:None:clip:0.8,14M:A1-H:None,5a452f7fa0ff25caab0c251172081ef805aafd58b8ef5ceeed75cbb23b7210f3,14M,A1-H,,0.8,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,8.107618275478746,2.8990452631690795,0.10558519250701183,0.3525102284843583,671844483719,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",2.8379848271431998,0.07844385787915435
14M:A1-H:None:clip:0.9,14M:A1-H:None,5a452f7fa0ff25caab0c251172081ef805aafd58b8ef5ceeed75cbb23b7210f3,14M,A1-H,,0.9,clipped,FP16,analyses/006-2026-08-30-full-pass-all-variants-teal-posthoc/teal_all_variants.json,8.869450109244804,3.6608770969351374,0.11878925318261166,0.39659374374970124,755862660103,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",3.5998166609092577,0.09164791855475418
14M:A4-OL1:0.0:clip:0.0,14M:A4-OL1:0.0,98bf5862ec5890efe1365fcf9962cdfcd03067407472b832696b5b07079c0edd,14M,A4-OL1,0.0,0.0,clipped,FP16,runs/030-2026-09-08-all-models-posthoc-clipping/artifacts/attempts/001/14M_A4-OL1_0.0/sweep.json,5.458294967927876,0.24972195561820953,0.07810042365035152,0.26074866685385145,496957362673,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.0,0.0
14M:A4-OL1:0.0:clip:0.1,14M:A4-OL1:0.0,98bf5862ec5890efe1365fcf9962cdfcd03067407472b832696b5b07079c0edd,14M,A4-OL1,0.0,0.1,clipped,FP16,runs/030-2026-09-08-all-models-posthoc-clipping/artifacts/attempts/001/14M_A4-OL1_0.0/sweep.json,5.458294967927876,0.24972195561820953,0.07810042365035152,0.26074866685385145,496957362673,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.0,0.0
14M:A4-OL1:0.0:clip:0.2,14M:A4-OL1:0.0,98bf5862ec5890efe1365fcf9962cdfcd03067407472b832696b5b07079c0edd,14M,A4-OL1,0.0,0.2,clipped,FP16,runs/030-2026-09-08-all-models-posthoc-clipping/artifacts/attempts/001/14M_A4-OL1_0.0/sweep.json,5.458294967927876,0.24972195561820953,0.07810042365035152,0.26074866685385145,496957362673,6363055915008,1905886494720,0.12833152310134513,0.2995237697384911,"a,m,h,z",0.0,0.0
