condition,family,dose,mode,latency_ms,qualified,R_model,zero_products,model_products,speedup_over_native
c23,A7,0.05,native,3.6433314671739936,True,0.09126923722094463,580751259757,6363055915008,1.0
c23,A7,0.05,fusion_dense,2.5272180791944265,True,0.09126923722094463,580751259757,6363055915008,1.4428904799753015
c23,A7,0.05,sparse,2.0214461255818605,False,0.09126923722094463,580751259757,6363055915008,1.8066807662199147
c23,A7,0.05,no_skip,2.533907420001924,False,0.09126923722094463,580751259757,6363055915008,1.4494148095723003
c24,A7,0.1,native,3.6993399262428284,True,0.10425018105347987,663349731193,6363055915008,1.0
c24,A7,0.1,fusion_dense,2.569122356362641,True,0.10425018105347987,663349731193,6363055915008,1.4393501684426913
c24,A7,0.1,sparse,2.0572510547935963,False,0.10425018105347987,663349731193,6363055915008,1.7981844367832087
c24,A7,0.1,no_skip,2.544008078984916,False,0.10425018105347987,663349731193,6363055915008,1.4617092384030153
c25,A7,0.5,native,3.7505299551412463,True,0.15386813064155969,979071518810,6363055915008,1.0
c25,A7,0.5,fusion_dense,2.6071725878864527,True,0.15386813064155969,979071518810,6363055915008,1.4413395005975476
c25,A7,0.5,sparse,2.084811101667583,True,0.15386813064155969,979071518810,6363055915008,1.8034279578083576
c25,A7,0.5,no_skip,2.5472581619396806,True,0.15386813064155969,979071518810,6363055915008,1.4810640890485123
c26,A7+OL1@7,0.0,native,3.1636980129405856,True,0.0705422917861371,448864547008,6363055915008,1.0
c26,A7+OL1@7,0.0,fusion_dense,2.5199929950758815,True,0.0705422917861371,448864547008,6363055915008,1.2573292826012257
c26,A7+OL1@7,0.0,sparse,2.018356928601861,False,0.0705422917861371,448864547008,6363055915008,1.569671616119047
c26,A7+OL1@7,0.0,no_skip,2.5392473908141255,False,0.0705422917861371,448864547008,6363055915008,1.2616297767710105
c27,A7+OL1@7,0.01,native,3.695720457471907,True,0.07723392871636932,491443806958,6363055915008,1.0
