source_checkpoint_id,scale,family,training_parameter,clipping_target_p,loss,delta_loss_from_p0,R_model,U_arch,nondominated_within_checkpoint
14M:A4:0.1,14M,A4,0.1,0.5,5.4196053877384704,-2.5066398304574022e-05,0.08953739814579073,0.6977038531295373,True
14M:A4:0.1,14M,A4,0.1,0.6,5.4465989304717475,0.026968476334972458,0.0934235743765663,0.7279861729903139,True
14M:A4:0.1,14M,A4,0.1,0.7,5.775361882864371,0.3557314287275961,0.10011998130621473,0.7801667032904194,True
14M:A4:0.1,14M,A4,0.1,0.8,6.579616713100637,1.1599862589638619,0.10655357727987962,0.8302993271242703,True
14M:A4:0.1,14M,A4,0.1,0.9,7.759893935107621,2.3402634809708456,0.11378150869951766,0.8866216651201347,True
14M:A4:0.5,14M,A4,0.5,0.0,5.659684058477187,0.0,0.10215435331109812,0.7960191762894099,True
14M:A4:0.5,14M,A4,0.5,0.1,5.659684058477187,0.0,0.10215435331109812,0.7960191762894099,True
14M:A4:0.5,14M,A4,0.5,0.2,5.659684058477187,0.0,0.10215435331109812,0.7960191762894099,True
14M:A4:0.5,14M,A4,0.5,0.3,5.659684058477187,0.0,0.10215435331109812,0.7960191762894099,True
14M:A4:0.5,14M,A4,0.5,0.4,5.659684058477187,0.0,0.10215435331109812,0.7960191762894099,True
14M:A4:0.5,14M,A4,0.5,0.5,5.659684058477187,0.0,0.10215435331109812,0.7960191762894099,True
14M:A4:0.5,14M,A4,0.5,0.6,5.660416823872448,0.0007327653952611257,0.10227092141090856,0.7969275119577894,True
14M:A4:0.5,14M,A4,0.5,0.7,5.7057768508527404,0.046092792375553415,0.1056314831258488,0.8231140765190654,True
14M:A4:0.5,14M,A4,0.5,0.8,6.099448690047631,0.4397646315704442,0.11325651370204783,0.8825307373045642,True
14M:A4:0.5,14M,A4,0.5,0.9,6.824760501906717,1.1650764434295295,0.12067310092512909,0.940323141258379,True
14M:A4-OL1:0.0,14M,A4-OL1,0.0,0.0,5.458294967927876,0.0,0.07810042365035152,0.6085833142389697,True
14M:A4-OL1:0.0,14M,A4-OL1,0.0,0.1,5.458294967927876,0.0,0.07810042365035152,0.6085833142389697,True
14M:A4-OL1:0.0,14M,A4-OL1,0.0,0.2,5.458294967927876,0.0,0.07810042365035152,0.6085833142389697,True
14M:A4-OL1:0.0,14M,A4-OL1,0.0,0.3,5.458294967927876,0.0,0.07810042365035152,0.6085833142389697,True
14M:A4-OL1:0.0,14M,A4-OL1,0.0,0.4,5.458905792800633,0.0006108248727567656,0.07895432928493579,0.6152372182365863,True
14M:A4-OL1:0.0,14M,A4-OL1,0.0,0.5,5.4860624265388624,0.027767458610986395,0.08273238638518834,0.6446770394819787,True
14M:A4-OL1:0.0,14M,A4-OL1,0.0,0.6,5.68792817225823,0.22963320433035417,0.08747913320376663,0.6816651987733613,True
14M:A4-OL1:0.0,14M,A4-OL1,0.0,0.7,6.359815380982393,0.9015204130545174,0.09052849076956064,0.7054267617323382,True
14M:A4-OL1:0.0,14M,A4-OL1,0.0,0.8,7.528212085278077,2.069917117350201,0.09291679419357368,0.7240371807961481,True
14M:A4-OL1:0.0,14M,A4-OL1,0.0,0.9,9.37712335727624,3.9188283893483637,0.09771585287966439,0.7614329707791037,True
14M:A4-OL1:0.01,14M,A4-OL1,0.01,0.0,5.458331256223148,0.0,0.08586723161261314,0.6691047494605252,True
14M:A4-OL1:0.01,14M,A4-OL1,0.01,0.1,5.458331256223148,0.0,0.08586723161261314,0.6691047494605252,True
14M:A4-OL1:0.01,14M,A4-OL1,0.01,0.2,5.458331256223148,0.0,0.08586723161261314,0.6691047494605252,True
14M:A4-OL1:0.01,14M,A4-OL1,0.01,0.3,5.458331256223148,0.0,0.08586723161261314,0.6691047494605252,True
14M:A4-OL1:0.01,14M,A4-OL1,0.01,0.4,5.458331256223148,0.0,0.08586723161261314,0.6691047494605252,True
14M:A4-OL1:0.01,14M,A4-OL1,0.01,0.5,5.469939624769448,0.011608368546299985,0.08880089018709961,0.6919647491207,True
14M:A4-OL1:0.01,14M,A4-OL1,0.01,0.6,5.638240218162537,0.17990896193938877,0.09259486671165913,0.7215286195780262,True
14M:A4-OL1:0.01,14M,A4-OL1,0.01,0.7,6.227583691918638,0.7692524356954902,0.09514375371071038,0.7413903568772738,True
14M:A4-OL1:0.01,14M,A4-OL1,0.01,0.8,7.205337222511246,1.7470059662880981,0.09632549585166256,0.7505988670888992,True
14M:A4-OL1:0.01,14M,A4-OL1,0.01,0.9,9.073682137494963,3.615350881271815,0.09855945696450973,0.7680066018282663,True
14M:A4-OL1:0.05,14M,A4-OL1,0.05,0.0,5.489813471686911,0.0,0.10456447211090765,0.8147995876923527,False
14M:A4-OL1:0.05,14M,A4-OL1,0.05,0.1,5.489813471686911,0.0,0.10456447211090765,0.8147995876923527,False
14M:A4-OL1:0.05,14M,A4-OL1,0.05,0.2,5.489813471686911,0.0,0.10456447211090765,0.8147995876923527,False
14M:A4-OL1:0.05,14M,A4-OL1,0.05,0.3,5.489813471686911,0.0,0.10456447211090765,0.8147995876923527,False
