condition_id,layer,operation,site,K,M,N,exact_zero_mass,dense_median_ms,pack_median_ms,kernel_median_ms,pack_kernel_median_ms,kernel_only_speedup,pack_kernel_speedup,sparse_vs_fp32_relative_l2
a4-ol1-kappa-0p5,12,mlp_w2,h,4096,2048,1024,0.9999493360519409,0.02878965106752489,0.01983330169053861,0.06993376684807219,0.09303807954623308,0.4111627513711475,0.30831725428854595,0.0017563842694183368
a4-ol1-kappa-0p5,12,attention_output_projection,z,1024,2048,1024,1.0,0.010164577513933182,0.006881919503211975,0.014458034932613373,0.021319551020860673,0.7034283156770902,0.47678460172342113,0.0
a4-ol1-kappa-0p5,13,qkv_projection,a,1024,2048,3072,0.9765162467956543,0.023287779185920954,0.007563072722405195,0.5181945394724607,0.5311263375915587,0.0449477098087296,0.04384813014285102,0.0022900199265923496
a4-ol1-kappa-0p5,13,mlp_w1,m,1024,2048,4096,0.9526047706604004,0.031647119313886724,0.0077598434809136065,0.5623615053418565,0.5732507457675999,0.05627651279043209,0.05514697250258223,0.0023141102948150407
a4-ol1-kappa-0p5,13,mlp_w2,h,4096,2048,1024,0.9999256134033203,0.027883405903283552,0.019954956619988515,0.09350952857374391,0.12298175900042811,0.29803074431082827,0.22636441674755375,0.0018677205317425888
a4-ol1-kappa-0p5,13,attention_output_projection,z,1024,2048,1024,0.999974250793457,0.010181276854378226,0.00691595132308156,0.019164857691130344,0.02609142221896152,0.5312740103853045,0.3903755949077891,0.0009240802439082361
a4-ol1-kappa-0p5,14,qkv_projection,a,1024,2048,3072,0.9637184143066406,0.023490657993391447,0.007662308566710528,0.6548817689512291,0.6670288595498777,0.035881903736767015,0.03519948610148051,0.0022945628643565048
a4-ol1-kappa-0p5,14,mlp_w1,m,1024,2048,4096,0.9520859718322754,0.031547748385765316,0.007719336348105353,0.5639983537002079,0.5726240363861365,0.055935887363484135,0.055124558501109165,0.0023140521392593285
a4-ol1-kappa-0p5,14,mlp_w2,h,4096,2048,1024,0.9999287128448486,0.0274975425378195,0.02022255247412868,0.09738881232842549,0.11972433814966249,0.28234806319527955,0.22811932239833804,0.001799178443647135
a4-ol1-kappa-0p5,14,attention_output_projection,z,1024,2048,1024,0.9999308586120605,0.010163513365706096,0.0068991699569914315,0.03085557585858046,0.037710038167328194,0.32953264850070246,0.2696621357545442,0.0013854617572448262
a4-ol1-kappa-0p5,15,qkv_projection,a,1024,2048,3072,0.9731235504150391,0.023334076091824845,0.007585351065029684,0.566123964128543,0.5772552584667628,0.04120021983914413,0.040422457395714435,0.0022991332357425237
a4-ol1-kappa-0p5,15,mlp_w1,m,1024,2048,4096,0.9506816864013672,0.03164966399245977,0.007763401141150072,0.5782514628840656,0.5861945476266149,0.05473431233347992,0.054007742911093504,0.002319015157015392
a4-ol1-kappa-0p5,15,mlp_w2,h,4096,2048,1024,0.9999220371246338,0.02802195467530884,0.02140285831946675,0.09759174269606065,0.12047725271594117,0.2864031937866559,0.23238829267331332,0.0017453369724292004
a4-ol1-kappa-0p5,15,attention_output_projection,z,1024,2048,1024,0.9999990463256836,0.01019609346985817,0.006899900734424591,0.01636434718966484,0.023284664005041124,0.6230675352755698,0.43771256911040834,0.00013755499202861495
a4-ol1-kappa-0p5,16,qkv_projection,a,1024,2048,3072,0.9661526679992676,0.02344658720159085,0.007714665381707878,0.6232240768236534,0.6346533649435667,0.037629390813074905,0.036933863768268134,0.0023002468230356025
a4-ol1-kappa-0p5,16,mlp_w1,m,1024,2048,4096,0.9407410621643066,0.03177285948886147,0.007820900051330787,0.6161982473154396,0.6270889482489547,0.051626899185706114,0.05065990283741752,0.0023282565747474756
