condition_id,layer,operation,site,M,K,N,exact_zero_mass,maximum_row_nnz,dense_median_ms,pack_median_ms,kernel_median_ms,pack_kernel_median_ms,kernel_only_speedup,pack_kernel_speedup,sparse_vs_fp32_relative_l2
a4-ol1-kappa-0p5,1,mlp_w1,m,2048,512,2048,0.9765424728393555,59,0.011953831221743495,0.005256824516814894,0.03379447678252395,0.039471634787268346,0.3526373158727138,0.30296212757858104,0.0023273071424231035
a4-ol1-kappa-0p5,1,mlp_w2,h,2048,2048,512,0.9999849796295166,4,0.010962717459597785,0.011107846027929535,0.013720037187944244,0.024648584460505663,0.7982412753922837,0.4446824956588338,0.000905330709270033
a4-ol1-kappa-0p5,1,attention_output_projection,z,2048,512,512,0.9999961853027344,3,0.010096708685159684,0.004743717610836029,0.013088427484035492,0.01787538602948189,0.7716895190137678,0.564298679474752,0.00022498120057748433
a4-ol1-kappa-0p5,2,qkv_projection,a,2048,512,1536,0.9943866729736328,22,0.010063477361492162,0.0049774608280355155,0.04516739547465833,0.05022901641964401,0.22283276631149793,0.2002240081384328,0.0020879285799116657
a4-ol1-kappa-0p5,2,mlp_w1,m,2048,512,2048,0.9720754623413086,66,0.012019517524013043,0.005138560138518907,0.036569494718681324,0.0419448552356763,0.32826389897301556,0.2891549489852847,0.002325385076970698
a4-ol1-kappa-0p5,2,mlp_w2,h,2048,2048,512,0.9999866485595703,2,0.010921713515851625,0.011137188988981186,0.013127047367130973,0.024260663847562317,0.8302993195356657,0.4501990824775994,0.0011357251720278904
a4-ol1-kappa-0p5,2,attention_output_projection,z,2048,512,512,1.0,0,0.010124259442090989,0.00473276823759079,0.01215849220752716,0.016805246472358704,0.8321713310472221,0.6026357952117237,0.0
a4-ol1-kappa-0p5,3,qkv_projection,a,2048,512,1536,0.9999990463256836,1,0.01004285216331482,0.004758994281291962,0.020097893476486207,0.024920886754989623,0.49969675553632453,0.40328727607211196,7.335417635251183e-05
a4-ol1-kappa-0p5,3,mlp_w1,m,2048,512,2048,0.9701671600341797,64,0.012032939675552475,0.0051950786085782534,0.03790671047286964,0.04324780567647173,0.3202974081166585,0.2793063568143862,0.002318822041735666
a4-ol1-kappa-0p5,3,mlp_w2,h,2048,2048,512,0.999941349029541,3,0.010891874397586376,0.011092602856145191,0.013386483104034702,0.02453228076308569,0.8146515481589609,0.44416516808216827,0.001768378119445016
a4-ol1-kappa-0p5,3,attention_output_projection,z,2048,512,512,1.0,0,0.010069239139556884,0.0047447971999645235,0.012035604566335678,0.016707752645015717,0.8358958492959353,0.6025031964491895,0.0
a4-ol1-kappa-0p5,4,qkv_projection,a,2048,512,1536,0.9687395095825195,59,0.009926126674473111,0.005122020709549577,0.08533610539002852,0.09057941324899624,0.11636516636766767,0.10970717774554052,0.0022183371789085524
a4-ol1-kappa-0p5,4,mlp_w1,m,2048,512,2048,0.9671840667724609,66,0.012078114691838667,0.005214911599652021,0.039528534495721836,0.04417147136386767,0.3090747460770682,0.2725364034047682,0.002328061161867202
a4-ol1-kappa-0p5,4,mlp_w2,h,2048,2048,512,0.9999418258666992,5,0.010964804524769096,0.011355951206510508,0.014228742660359091,0.02551548694871321,0.7706999296500472,0.4323834347044192,0.0015543941851022655
a4-ol1-kappa-0p5,4,attention_output_projection,z,2048,512,512,0.9999895095825195,2,0.01005052775144577,0.004728259146213531,0.013058509677648544,0.017738284915685652,0.7696572013122881,0.5663615469468303,0.0004077857452095453
a4-ol1-kappa-0p5,5,qkv_projection,a,2048,512,1536,0.9724216461181641,61,0.009970054099941698,0.0050905124395853995,0.0910712994090506,0.09620264983659213,0.10947474972427844,0.10363596134697568,0.0022204928490328416
a4-ol1-kappa-0p5,5,mlp_w1,m,2048,512,2048,0.7274961471557617,180,0.013722622841313849,0.006466068369840082,0.17477565955731175,0.18021281264312353,0.0785156404276877,0.07595414019517345,0.002270728228919132
a4-ol1-kappa-0p5,5,mlp_w2,h,2048,2048,512,0.9991400241851807,6,0.011003095375650411,0.011133451531403256,0.014474401545060522,0.025584224221770202,0.7629121657176859,0.4300734421443831,0.002221776992786778
